"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 658;2025-07-24;Worldline card sales;;;2 528,26;;15 082,70
;A 659;2025-07-28;Worldline card sales;;;4 848,61;;19 931,31
;A 660;2025-07-29;Worldline card sales;;;3 619,76;;23 551,07
;A 661;2025-07-30;Card terminal maintenance fee;;;;248,00;23 303,07
;A 662;2025-07-31;Worldline card sales;;;1 865,60;;25 168,67
;A 664;2025-08-01;Bank fee - August monthly;;;;70,00;25 098,67
;A 665;2025-08-01;Hyra Butik shop rent;;;;19 983,00;5 115,67
;A 666;2025-08-01;Worldline card sales;;;6,14;;5 121,81
;A 669;2025-08-04;Worldline card sales;;;6 001,77;;11 123,58
;A 670;2025-08-04;Worldline card sales;;;2 515,32;;13 638,90
;A 671;2025-08-06;Rent correction August;;;;1 896,00;11 742,90
;A 672;2025-08-06;Worldline card sales;;;3 370,02;;15 112,92
;A 673;2025-08-07;Worldline card sales - POSSIBLE DUPLICATE;;;3 370,02;;18 482,94
;A 675;2025-08-11;Customer payment via Bankgiro;;;250,00;;18 732,94
;A 676;2025-08-11;Worldline card sales;;;2 418,89;;21 151,83
;A 677;2025-08-12;Worldline card sales;;;1 757,15;;22 908,98
;A 678;2025-08-13;Worldline card sales;;;1,98;;22 910,96
;A 679;2025-08-14;Worldline card sales;;;1 879,51;;24 790,47
;A 683;2025-08-18;Worldline card sales;;;1 359,16;;26 149,63
;A 684;2025-08-26;Car insurance Bilforsakring;;;;849,00;25 300,63
;A 685;2025-08-26;Worldline card sales;;;788,03;;26 088,66
;A 687;2025-08-27;Shareholder loan repayment 2;;;;12 000,00;14 088,66
;A 688;2025-08-27;Administrative fee payment;;;;500,00;13 588,66
;A 689;2025-08-27;WISE account transfer;;;;2 500,00;11 088,66
;A 690;2025-08-27;Worldline card sales;;;198,99;;11 287,65
;A 691;2025-08-28;Worldline card sales;;;6 558,62;;17 846,27
;A 702;2025-09-01;Bank fee - September monthly;;;;70,00;17 776,27
;A 703;2025-09-01;Worldline card sales;;;4 095,38;;21 871,65
;A 704;2025-09-01;Worldline card sales;;;1,50;;21 873,15
;A 706;2025-09-02;Rent correction September;;;;1 896,00;19 977,15
;A 707;2025-09-02;Worldline card sales;;;774,10;;20 751,25
;A 709;2025-09-03;Bank service fees;;;;248,00;20 503,25
;A 713;2025-09-04;WISE account transfer;;;;5 000,00;15 503,25
;A 714;2025-09-04;Worldline card sales;;;11 344,02;;26 847,27
;A 720;2025-09-05;Worldline card sales;;;4 529,31;;31 376,58
;A 722;2025-09-06;Worldline card sales;;;3 904,36;;35 280,94
;A 724;2025-09-08;Hyra Butik shop rent;;;;19 983,00;15 297,94
;A 725;2025-09-09;Worldline card sales;;;5 495,34;;20 793,28
;A 727;2025-09-15;Worldline card sales;;;8 216,41;;29 009,69
;A 728;2025-09-15;Worldline card sales;;;3 500,37;;32 510,06
;A 729;2025-09-18;Worldline card sales;;;2 649,66;;35 159,72
;A 730;2025-09-22;WISE account transfer;;;;12 000,00;23 159,72
;A 731;2025-09-22;Worldline card sales;;;6 306,25;;29 465,97
;A 732;2025-09-22;Worldline card sales;;;5 883,39;;35 349,36
;A 735;2025-09-25;Worldline card sales;;;10 481,25;;45 830,61
;A 736;2025-09-26;Rent correction September;;;;2 016,00;43 814,61
;A 737;2025-09-26;Additional rent September;;;;20 159,00;23 655,61
;A 738;2025-09-26;Plusgiro service fee;;;;248,00;23 407,61
;A 739;2025-09-29;Worldline card sales;;;12 047,34;;35 454,95
;A 740;2025-09-30;Shareholder loan repayment 3;;;;27 905,00;7 549,95
;A 741;2025-09-30;Worldline settlement;;;17 122,87;;24 672,82
;A 742;2025-09-30;Shareholder loan repayment 4;;;;17 000,00;7 672,82
;A 841;2025-10-01;Manadsavgift Foretagskonto okt;;;;70,00;7 602,82
;A 842;2025-10-03;Worldline deposit B10037527853;;;6 744,05;;14 346,87
;A 843;2025-10-06;Worldline deposit B10047556132;;;3 689,41;;18 036,28
;A 844;2025-10-06;Overforing till Wise;;;;10 486,00;7 550,28
;A 845;2025-10-06;Worldline deposit B10067605445;;;3 336,21;;10 886,49
;A 846;2025-10-07;Worldline deposit B10077622879;;;2 555,13;;13 441,62
;A 847;2025-10-08;Skatt forseningsavgift;;;;625,00;12 816,62
;A 848;2025-10-08;Bankgiro betalning 2027001;;;;500,00;12 316,62
